[{'timestamp': 'Jun 18 2018 09:15:41', 'pm2.5': 34}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:15:42', 'pm2.5': 34}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:15:43', 'pm2.5': 34}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:15:43', 'pm2.5': 34}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:15:44', 'pm2.5': 34}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:15:45', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:15:46', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:15:47', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:15:48', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:15:49', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:15:49', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:15:50', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:15:51', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:15:52', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:15:53', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:15:54', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:15:55', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:15:56', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:15:56', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:15:57', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:15:58', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:15:59', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:00', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:01', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:02', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:02', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:03', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:04', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:05', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:06', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:07', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:08', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:09', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:09', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:10', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:11', 'pm2.5': 34}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:12', 'pm2.5': 34}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:13', 'pm2.5': 34}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:14', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:15', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:15', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:16', 'pm2.5': 34}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:17', 'pm2.5': 34}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:18', 'pm2.5': 34}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:19', 'pm2.5': 34}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:20', 'pm2.5': 34}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:21', 'pm2.5': 34}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:21', 'pm2.5': 34}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:22', 'pm2.5': 34}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:23', 'pm2.5': 34}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:24', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:25', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:26', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:27', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:27', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:28', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:29', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:30', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:31', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:32', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:33', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:33', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:34', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:35', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:36', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:37', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:38', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:39', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:40', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:40', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:41', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:42', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:43', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:44', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:45', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:46', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:46', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:47', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:48', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:49', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:50', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:51', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:52', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:52', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:53', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:54', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:55', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:56', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:57', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:58', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:59', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:16:59', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:00', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:01', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:02', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:03', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:04', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:05', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:06', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:07', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:08', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:08', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:09', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:10', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:11', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:12', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:13', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:14', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:15', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:15', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:16', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:17', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:18', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:19', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:20', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:21', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:22', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:22', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:23', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:24', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:25', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:26', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:27', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:28', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:28', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:29', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:30', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:31', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:32', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:33', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:34', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:35', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:36', 'pm2.5': 34}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:37', 'pm2.5': 34}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:37', 'pm2.5': 34}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:38', 'pm2.5': 34}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:39', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:40', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:17:41', 'pm2.5': 32}, {'isSent': False}]
