[{'timestamp': 'Jun 14 2018 12:17:44', 'dB': 39, 'longitude': 24.23, 'latitude': 55.77}]
[{'timestamp': 'Jun 14 2018 12:17:49', 'dB': 39, 'longitude': 24.23, 'latitude': 55.77}]
[{'timestamp': 'Jun 14 2018 12:17:54', 'dB': 39, 'longitude': 24.23, 'latitude': 55.77}]
[{'timestamp': 'Jun 14 2018 12:17:59', 'dB': 39, 'longitude': 24.23, 'latitude': 55.77}]
[{'timestamp': 'Jun 14 2018 12:18:04', 'dB': 39, 'longitude': 24.23, 'latitude': 55.77}]
[{'timestamp': 'Jun 14 2018 12:18:09', 'dB': 39, 'longitude': 24.23, 'latitude': 55.77}]
[{'timestamp': 'Jun 14 2018 12:18:15', 'dB': 38, 'longitude': 24.23, 'latitude': 55.77}]
[{'timestamp': 'Jun 14 2018 12:18:20', 'dB': 38, 'longitude': 24.23, 'latitude': 55.77}]
[{'timestamp': 'Jun 14 2018 12:18:25', 'dB': 38, 'longitude': 24.23, 'latitude': 55.77}]
[{'timestamp': 'Jun 14 2018 12:18:30', 'dB': 38, 'longitude': 24.23, 'latitude': 55.77}]
[{'timestamp': 'Jun 14 2018 12:18:35', 'dB': 38, 'longitude': 24.23, 'latitude': 55.77}]
[{'timestamp': 'Jun 14 2018 12:18:40', 'dB': 38, 'longitude': 24.23, 'latitude': 55.77}]
[{'timestamp': 'Jun 14 2018 12:18:46', 'dB': 38, 'longitude': 24.23, 'latitude': 55.77}]
[{'timestamp': 'Jun 14 2018 12:18:51', 'dB': 38, 'longitude': 24.23, 'latitude': 55.77}]
[{'timestamp': 'Jun 14 2018 12:18:56', 'dB': 37, 'longitude': 24.23, 'latitude': 55.77}]
[{'timestamp': 'Jun 14 2018 12:19:01', 'dB': 37, 'longitude': 24.23, 'latitude': 55.77}]
[{'timestamp': 'Jun 14 2018 12:19:06', 'dB': 36, 'longitude': 24.23, 'latitude': 55.77}]
[{'timestamp': 'Jun 14 2018 12:19:11', 'dB': 38, 'longitude': 24.23, 'latitude': 55.77}]
[{'timestamp': 'Jun 14 2018 12:19:17', 'dB': 37, 'longitude': 24.23, 'latitude': 55.77}]
