Node,Timestamp,Parameter,Value_raw,Value_hrf
001e06109416,2018/06/04 02:14:30,concentration,2058,NA
001e06109416,2018/06/04 02:14:30,intensity,NA,56.72
001e0610fb4c,2018/06/04 02:14:30,intensity,824,NA
001e06113a48,2018/06/04 02:14:30,intensity,NA,62.74
001e0610ba15,2018/06/04 02:14:31,pm2_5,NA,NA
001e0610ba15,2018/06/04 02:14:31,concentration,778,NA
001e0610ba15,2018/06/04 02:14:31,intensity,NA,68.76
001e0610ba46,2018/06/04 02:14:31,concentration,741,NA
001e0610ba46,2018/06/04 02:14:31,intensity,NA,56.72
001e0610e538,2018/06/04 02:14:31,intensity,NA,56.72
001e06114503,2018/06/04 02:14:31,concentration,820,NA
001e06114503,2018/06/04 02:14:31,intensity,NA,66.26
001e0610e809,2018/06/04 02:14:32,intensity,726,NA
001e0610ee43,2018/06/04 02:14:32,concentration,1582,NA
001e0610ee43,2018/06/04 02:14:32,intensity,NA,62.74
001e0610f730,2018/06/04 02:14:32,intensity,822,NA
001e0611536c,2018/06/04 02:14:32,intensity,NA,66.26
001e0610ee41,2018/06/04 02:14:33,intensity,818,NA
001e0610f732,2018/06/04 02:14:33,concentration,322,NA
001e0610f732,2018/06/04 02:14:33,intensity,NA,56.72
001e06113d22,2018/06/04 02:14:33,intensity,NA,68.76
001e0610bbe5,2018/06/04 02:14:34,intensity,NA,56.72
001e0611462f,2018/06/04 02:14:34,intensity,NA,66.26
001e0610bc10,2018/06/04 02:14:35,pm2_5,NA,NA
001e0610bc10,2018/06/04 02:14:35,concentration,1043,NA
001e0610bc10,2018/06/04 02:14:35,intensity,NA,62.74
001e0610f8f4,2018/06/04 02:14:35,intensity,NA,68.76
001e0610ee33,2018/06/04 02:14:37,concentration,1234,NA
001e0610ee33,2018/06/04 02:14:37,intensity,825,NA
001e0610ee61,2018/06/04 02:14:37,intensity,822,NA
001e06113f54,2018/06/04 02:14:37,concentration,1602,NA
001e06113f54,2018/06/04 02:14:37,intensity,NA,56.72
001e061146d6,2018/06/04 02:14:37,pm2_5,NA,NA
001e061146d6,2018/06/04 02:14:37,concentration,3357,NA
001e061146d6,2018/06/04 02:14:37,intensity,NA,62.74
001e06113d20,2018/06/04 02:14:38,intensity,NA,62.74
001e061144be,2018/06/04 02:14:38,pm2_5,NA,NA
001e061144be,2018/06/04 02:14:38,intensity,NA,62.74
001e061146bc,2018/06/04 02:14:38,intensity,NA,56.72
001e0610ef27,2018/06/04 02:14:39,intensity,824,NA
001e06113107,2018/06/04 02:14:39,pm2_5,NA,0.036
001e06113107,2018/06/04 02:14:39,concentration,687,NA
001e06113107,2018/06/04 02:14:39,intensity,NA,56.72
001e0610e539,2018/06/04 02:14:40,pm2_5,NA,NA
001e0610e539,2018/06/04 02:14:40,concentration,1221,NA
001e0610e539,2018/06/04 02:14:40,intensity,NA,66.26
001e06113cff,2018/06/04 02:14:40,pm2_5,NA,0.0
001e06113cff,2018/06/04 02:14:40,concentration,631,NA
001e06113cff,2018/06/04 02:14:40,intensity,NA,70.7
001e061146ba,2018/06/04 02:14:41,intensity,NA,56.72
001e0611537d,2018/06/04 02:14:41,intensity,NA,56.72
001e0610ef68,2018/06/04 02:14:42,intensity,NA,56.72
001e0610e532,2018/06/04 02:14:43,concentration,2583,NA
001e0610e532,2018/06/04 02:14:43,intensity,816,NA
001e0610eef2,2018/06/04 02:14:43,concentration,1738,NA
001e0610eef2,2018/06/04 02:14:43,intensity,NA,56.72
001e061135cb,2018/06/04 02:14:43,concentration,422,NA
001e061135cb,2018/06/04 02:14:43,intensity,822,NA
001e06114500,2018/06/04 02:14:43,pm2_5,NA,NA
001e06114500,2018/06/04 02:14:43,concentration,-170,NA
001e06114500,2018/06/04 02:14:43,intensity,NA,66.26
001e06114fcf,2018/06/04 02:14:43,concentration,1216,NA
001e06114fcf,2018/06/04 02:14:43,intensity,NA,62.74
001e06114fd4,2018/06/04 02:14:43,pm2_5,NA,NA
001e06114fd4,2018/06/04 02:14:43,concentration,1114,NA
001e06114fd4,2018/06/04 02:14:43,intensity,NA,56.72
001e06113ad8,2018/06/04 02:14:44,concentration,1809,NA
001e06113ad8,2018/06/04 02:14:44,intensity,NA,55.0
001e0610bc12,2018/06/04 02:14:45,concentration,1272,NA
001e0610bc12,2018/06/04 02:14:45,intensity,NA,56.72
001e0610e540,2018/06/04 02:14:45,intensity,823,NA
001e0610e835,2018/06/04 02:14:45,concentration,1385,NA
001e0610e835,2018/06/04 02:14:45,intensity,NA,56.72
001e06112e77,2018/06/04 02:14:45,concentration,717,NA
001e06112e77,2018/06/04 02:14:45,intensity,NA,56.72
001e06113ace,2018/06/04 02:14:45,intensity,NA,56.72
001e06115365,2018/06/04 02:14:45,concentration,2147,NA
001e06115365,2018/06/04 02:14:45,intensity,NA,66.26
001e0610ba8f,2018/06/04 02:14:46,intensity,816,NA
001e06113cf1,2018/06/04 02:14:46,concentration,1564,NA
001e06113cf1,2018/06/04 02:14:46,intensity,NA,66.26
001e06113dbc,2018/06/04 02:14:47,pm2_5,NA,NA
001e06113dbc,2018/06/04 02:14:47,concentration,-161,NA
001e06113dbc,2018/06/04 02:14:47,intensity,NA,66.26
001e0610bbff,2018/06/04 02:14:48,pm2_5,NA,NA
001e0610bbff,2018/06/04 02:14:48,intensity,NA,56.72
001e0610f05c,2018/06/04 02:14:48,pm2_5,NA,NA
001e0610f05c,2018/06/04 02:14:48,concentration,1205,NA
001e0610f05c,2018/06/04 02:14:48,intensity,NA,68.76
001e0610f6db,2018/06/04 02:14:49,concentration,-314,NA
001e0610f6db,2018/06/04 02:14:49,intensity,NA,56.72
001e06113acb,2018/06/04 02:14:49,pm2_5,NA,NA
001e06113acb,2018/06/04 02:14:49,concentration,1418,NA
001e06113acb,2018/06/04 02:14:49,intensity,NA,56.72
001e0610bbf9,2018/06/04 02:14:50,intensity,NA,56.72
001e0610ee5d,2018/06/04 02:14:50,intensity,NA,68.76
001e0610ee82,2018/06/04 02:14:50,concentration,2643,NA
001e0610ee82,2018/06/04 02:14:50,intensity,815,NA
001e061144c0,2018/06/04 02:14:50,pm2_5,NA,NA
001e061144c0,2018/06/04 02:14:50,concentration,728,NA
001e061144c0,2018/06/04 02:14:50,intensity,NA,62.74
001e0610e537,2018/06/04 02:14:51,concentration,2046,NA
001e0610e537,2018/06/04 02:14:51,intensity,NA,56.72
001e0610ee6f,2018/06/04 02:14:51,intensity,825,NA
001e0610eef4,2018/06/04 02:14:51,intensity,825,NA
001e0610ee36,2018/06/04 02:14:52,intensity,NA,56.72
001e0610ef73,2018/06/04 02:14:52,concentration,1642,NA
001e0610ef73,2018/06/04 02:14:52,intensity,823,NA
001e061130f4,2018/06/04 02:14:53,intensity,NA,55.0
001e0610f703,2018/06/04 02:14:54,concentration,136,NA
001e0610f703,2018/06/04 02:14:54,intensity,NA,56.72
001e06109416,2018/06/04 02:14:55,pm2_5,NA,NA
001e06109416,2018/06/04 02:14:55,concentration,1668,NA
001e06109416,2018/06/04 02:14:55,intensity,NA,55.0
001e0610e809,2018/06/04 02:14:55,intensity,726,NA
001e0611441e,2018/06/04 02:14:55,intensity,NA,55.0
001e0610ba15,2018/06/04 02:14:56,pm2_5,NA,NA
001e0610ba15,2018/06/04 02:14:56,concentration,730,NA
001e0610ba15,2018/06/04 02:14:56,intensity,NA,68.76
001e0610e538,2018/06/04 02:14:56,intensity,NA,62.74
001e0610fb4c,2018/06/04 02:14:56,intensity,824,NA
001e06113a48,2018/06/04 02:14:56,intensity,NA,56.72
001e06114503,2018/06/04 02:14:56,concentration,727,NA
001e06114503,2018/06/04 02:14:56,intensity,NA,66.26
001e0610ba46,2018/06/04 02:14:57,concentration,1005,NA
001e0610ba46,2018/06/04 02:14:57,intensity,NA,56.72
001e0610ee41,2018/06/04 02:14:57,intensity,818,NA
001e0610ee43,2018/06/04 02:14:58,concentration,1865,NA
001e0610ee43,2018/06/04 02:14:58,intensity,NA,66.26
001e0610f730,2018/06/04 02:14:58,intensity,822,NA
001e06113d22,2018/06/04 02:14:58,intensity,NA,68.76
001e0611536c,2018/06/04 02:14:58,intensity,NA,62.74
001e0610f732,2018/06/04 02:14:59,concentration,916,NA
001e0610f732,2018/06/04 02:14:59,intensity,NA,55.0
001e0611462f,2018/06/04 02:14:59,intensity,NA,68.76
001e0610bbe5,2018/06/04 02:15:00,intensity,NA,56.72
